Sl. No.,State/UTs,Number of EV charging Stations
1,Andaman and Nicobar Islands,1
2,Andhra Pradesh,249
3,Arunachal Pradesh,30
4,Assam,147
5,Bihar,96
6,Chhattisgarh,116
7,Delhi,10
8,Goa,33
9,Gujarat,259
10,Haryana,284
11,Himachal Pradesh,68
12,Jammu and Kashmir,60
13,Jharkhand,87
14,Karnataka,300
15,Kerala,138
16,Ladakh,2
17,Maharashtra,750
18,Manipur,27
19,Meghalaya,35
20,Mizoram,8
21,Madhya Pradesh,231
22,Nagaland,13
23,Odisha,189
24,Pondicherry,2
25,Punjab,195
26,Rajasthan,482
27,Sikkim,3
28,Tamil Nadu,369
29,Telangana,221
30,Tripura,24
31,Uttar Pradesh,577
32,Uttarakhand,79
33,West Bengal,208
Grand Total,Grand Total,5293
