Sl. No.,States/UTs,2019,2020,2021,2022,2023
1,Andaman and Nicobar Islands,7,5,13,9,15
2,Andhra Pradesh,161,215,286,382,586
3,Arunachal Pradesh,2,NA,4,9,17
4,Assam,62,108,181,282,362
5,Bihar,137,236,374,517,811
6,Chandigarh,37,52,63,81,126
7,Chhattisgarh,152,143,159,233,360
8,Dadra and Nagar Haveli and Daman and Diu,3,5,12,12,11
9,Delhi,1302,1711,2129,2548,3150
10,Goa,39,60,78,104,98
11,Gujarat,565,846,1655,2262,3291
12,Haryana,658,787,1036,1327,1740
13,Himachal Pradesh,27,40,55,117,144
14,Jammu and Kashmir,30,57,123,167,247
15,Jharkhand,79,153,180,232,337
16,Karnataka,1566,1648,2082,2546,3032
17,Kerala,597,671,901,1070,1294
18,Ladakh,NA,1,NA,4,4
19,Lakshadweep,NA,1,NA,NA,2
20,Madhya Pradesh,302,401,540,891,1264
21,Maharashtra,1987,2531,3552,4763,5801
22,Manipur,3,10,33,31,26
23,Meghalaya,5,NA,6,10,18
24,Mizoram,NA,1,2,6,13
25,Nagaland,2,5,6,7,22
26,Odisha,170,257,367,442,620
27,Puducherry,10,13,16,29,43
28,Punjab,86,134,239,294,443
29,Rajasthan,321,459,591,986,1443
30,Sikkim,2,1,3,2,2
31,Tamil Nadu,556,715,1067,1791,2810
32,Telangana,559,754,928,1370,1757
33,Tripura,7,17,11,25,23
34,Uttar Pradesh,807,1290,1876,2554,3426
35,Uttarakhand,87,109,155,236,271
36,West Bengal,276,362,648,991,1170
Grand Total,Grand Total,10604,13798,19371,26330,34779
